candidate_id,ancient_document_or_context,publication_concordance,res_returns,proposition_role,duplicate_group,chronology,provenance,confidence,notes
HEC-0001,"SAOC 44, 17","P283587; SAOC 44, 17",H,direct property description,DG-HOUSE-PROPERTY-ROSTER,Rīm-Sîn 48,Nippur; TA 184 context as catalogued,HIGH,Measured property; not a resident roster.
HEC-0001,"SAOC 44, 12","P257360; SAOC 44, 12",H,direct property description,DG-HOUSE-PROPERTY-ROSTER,Ilī-ma-ilum 1,Nippur; X 1 / XA 1 as catalogued,HIGH,Measured property/exchange context; no complete residential group.
HEC-0002,"SAOC 44, 25","P224340; SAOC 44, 25",B;H,explicit residence wording,DG-RESIDENCE-DISTINCTION,Samsu-iluna 7/III,Nippur TA; room unknown,HIGH,ša ina é ... wašbu gives explicit residence wording; a-si-rum interpretation unresolved.
HEC-0002,TA contributor/tenant records D11/D19,Stone 1987 catalogue references used in B,B,contrast: contribution/tenancy,DG-RESIDENCE-DISTINCTION,Samsu-iluna 7–8,TA 174 XI-2 / TA 185 XA-1,MODERATE,Housing association without equivalent explicit residence wording.
HEC-0003,Narāmtum and Mannum-mešu-liṣṣur dossier records,"C D01–D18, D25; multiple OECT/TMH/BE witnesses",C,legal/prosopographic continuity,DG-LEGAL-NOT-RESIDENCE,Lipit-Enlil–Samsu-iluna,Nippur-attributed legal clusters; exact residence unverified,MODERATE,Successive legal relationships do not independently prove unchanged co-residence.
HEC-0003,NN 50,Stone 1987 NN 50,F,lease without secure excavated residence,DG-LEGAL-NOT-RESIDENCE,Samsu-iluna 8,Found TA 185 XA-1; leased property not securely equated with House I,MODERATE,Legal relation and findspot do not identify residence.
HEC-0003,"OIMA 1, 28–29","Stone 1976, OIMA 1 nos. 28–29",F,estate partitions without house address,DG-LEGAL-NOT-RESIDENCE,Samsu-iluna 25–26,Old Nippur excavations; precise house association unestablished,MODERATE,Sequential partitions without a verified architectural address.
HEC-0004,"NN 35–37, House N",Stone 1987 catalogue,F,older documents in later deposit,DG-DOCUMENT-BIOGRAPHY,Older records in TA XI-2,TA House N,MODERATE,Transaction date cannot automatically date a resident group.
HEC-0004,"NN 83–84, House O",Stone 1987 catalogue,F,prior-holder acquisition in later office sequence,DG-DOCUMENT-BIOGRAPHY,Samsu-iluna 23–24,TB House O,MODERATE,Linked office sequence illustrates retained documentary history.
HEC-0005,P368911,Ist Ni 10108; Proust 2007 p. 352; CDLI P368911,A,didactic/model witness,DG-DIDACTIC-NOT-EVENT,"Old Babylonian, broad",Nippur-attributed school text,HIGH,Indexed model-contract obverse + mathematical reverse; direct page/image not fetched in A.
HEC-0005,"PBS 8/2, 173","CBS 07178; P230709; PBS 8/2, 173",H,school court-case witness,DG-DIDACTIC-NOT-EVENT,Old Babylonian; undated,Nippur school text,HIGH,"Attests legal vocabulary/textual transmission, not event count."
HEC-0006,"SAOC 44, 20","P224335; SAOC 44, 20",H,mixed written language,DG-WRITING-VERNACULAR,Rīm-Sîn 59/X,Nippur; room unknown,HIGH,Akkadian syntax/verbs with Sumerian-written legal expressions.
HEC-0007,"SAOC 44, 25","P224340; SAOC 44, 25",H,ARAD in seal/devotional formula,DG-ARAD-SEMANTICS,Samsu-iluna 7,Nippur,HIGH,Formulaic/onomastic use is not explicit slave-status predication.
HEC-0007,"SAOC 44, 46","P283588; SAOC 44, 46",H,ARAD in personal name/witness list,DG-ARAD-SEMANTICS,Samsu-iluna 17,Nippur,HIGH,Onomastic use alone is insufficient for status assignment.
HEC-0008,HS 189 and late Nippur/CUSAS texts,Texts discussed in Béranger 2023a,A,late-activity chronology,DG-LATE-NIPPUR-CONTINUITY,Late Old Babylonian,Nippur/Dūr-Abi-ešuh connected cultic/administrative evidence,MODERATE,Underlying tablets not freshly collated; Charpin alternative reported indirectly.
HEC-0009,"BE 6/2, 40","CBS 7018; BE 6/2, 40; Poebel 1909 p. 35",B;D;E,marriage contribution and repudiation clauses,DG-BE40,Samsu-iluna 13/I; exact day disputed,Nippur-attributed; precise locus unknown,HIGH,"Nineteen-shekel contribution; clauses conditional, not performed divorce."
HEC-0010,"BE 6/2, 48","Ni 1919; P283604; MC 3, 16; BE 6/2, 48",B;D;E,constituted motherhood/support/estate/breach clauses,DG-BE48,Samsu-iluna 18/IV/1 per E,Nippur attribution,HIGH,Exact date not independently verified by B; sale consequence is prospective.
HEC-0011,"PBS 8/2, 116","CBS 07112; P262151; PBS 8/2, 116",B;D;H,sibling maintenance/inheritance/field restriction,DG-PBS116,Rīm-Sîn 50/II,Nippur; no locus in consulted record,HIGH,"Tablet and envelope are one agreement, not independent events."
HEC-0011,"PBS 8/2, 116 witness section",P262151 tablet rev. 13 / case rev. 11,B,female nadītu witness,DG-PBS116,Rīm-Sîn 50/II,Nippur,HIGH,Unnubtum appears as witness; no frequency inference.
HEC-0012,"SAOC 44, 1","P224324; 3N-T 852; IM 58763; SAOC 44, 1; concordance MC 3, 14",B,marriage plus children affiliation,DG-SAOC44-1,Rīm-Sîn 30/VII,TA 180 XI foundation,MODERATE,Widow-remarriage interpretation mediated through Stol/Stone & Owen.
HEC-0013,"OECT 8, 20","MC 3, 23; P283648; OECT 8, 20",C,adoption + heirship/property + lifetime support,DG-ADOPTION-SUPPORT,Lipit-Enlil d,Nippur-attributed,HIGH,Direct clause combination; no performance/co-residence inference.
HEC-0013,"TMH 10, 6","P504399; HS 2213; TMH 10, 6",C,adoption + heirship/property + lifetime support,DG-ADOPTION-SUPPORT,Rīm-Sîn I 43,Nippur,HIGH,Independent second dossier for the same narrow linkage.
HEC-0014,"TMH 10, 6","P504399; HS 2213; TMH 10, 6",C,female adopter/title/paternal gift,DG-NARAMTUM-ADOPTION,Rīm-Sîn I 43/VIII,Nippur; Narāmtum dossier,HIGH,Paternal gift is not automatically inheritance at father’s death.
HEC-0015,"TMH 10, 6","P504399; TMH 10, 6",C,earlier adoption endpoint,DG-NARAMTUM-CONTINUITY,Rīm-Sîn I 43,Nippur,HIGH,Earlier adoption later invoked in estate history.
HEC-0015,"TMH 10, 18a","P504411; TMH 10, 18a",C,later division witness,DG-NARAMTUM-CONTINUITY,Samsu-iluna 4/X/21,Nippur,HIGH,Parallel/related later division witness; reading differences preserved.
HEC-0015,"BE 6/2, 23 / TMH 10, 18b","P453321; Ist Ni 1917; BE 6/2, 23",A;C;D;E,later division witness / allocation,DG-NARAMTUM-CONTINUITY,Samsu-iluna 4/X/21,Nippur city attribution; house unknown,HIGH,Same underlying act discussed by multiple returns; agent repetition not corroboration.
HEC-0016,"BE 6/2, 28","CBS 11173; P266334; BE 6/2, 28",E;H,living division + conditional heirship + annual support,DG-BE28,Samsu-iluna 8/III,Nippur,HIGH,Damaged obv. 9; performance unproved.
HEC-0017,"SAOC 44, 24","P224339; IM 058783; 3N-T0873; SAOC 44, 24",C,judicial heirship termination/no-claim,DG-SAOC44-24,Old Babylonian; absolute date unresolved,Nippur,HIGH,Narrative damaged; revised text used.
HEC-0018,"BE 6/2, 57","Istanbul 1995; P283605; BE 6/2, 57",G;E,adoption with protected office/property rights,DG-BE57,Samsu-iluna 22/VI/16,Nippur,MODERATE,Later re-edition located but not directly read; cultic qualification not established.
HEC-0019,"BE 6/2, 24","CBS 10891; P266084; BE 6/2, 24",E,conditional sale/enslavement sanction,DG-BE24,Samsu-iluna 4/XI,Nippur,HIGH,Prospective clause; no proof repudiation/sale occurred or of prior slave status.
HEC-0020,"SAOC 44, 53","P224357; 3N-T 845; IM 58756; SAOC 44, 53",B;H,manumission/release + lifetime service + later claims,DG-SAOC44-53,Rīm-Sîn 51/VIII,Nippur TA 179 XA-1; precise room unconfirmed,MODERATE,Release expression restored/queried; residence after act unknown.
HEC-0021,"BE 6/2, 8","CBS 9183; P264577; BE 6/2, 8",E,paid manumission + claim protection,DG-BE8,Rīm-Sîn I 51/V,Probable Nippur documentary origin; conflicting historical find attribution,MODERATE,Legal content explicit; local provenance qualified.
HEC-0022,"BE 6/2, 51","Istanbul Ni 1847; BE 6/2, 51",E,father-mediated fixed-term hire,DG-BE51,Samsu-iluna 20/III/21 to XII/30,Nippur; no room-level context,HIGH,80 qa grain/month in edition; age/status/residence not stated.
HEC-0023,"BE 6/2, 23","P453321; Ist Ni 1917; BE 6/2, 23",A;C;D;E,heterogeneous estate allocation; named female heir and enslaved persons,DG-BE23,Samsu-iluna 4/X/21,Nippur; house/archive unknown,HIGH,Narubtum named heir; named enslaved persons allocated; wider genealogy disputed.
HEC-0023,"BE 6/2, 26","Istanbul Ni 45; BE 6/2, 26",D,heterogeneous estate allocation/balancing,DG-INHERITANCE-PORTFOLIO,Samsu-iluna 6/VI/14,Nippur attribution; no verified house/locus,HIGH,Older object/name readings not freshly collated.
HEC-0024,"BE 6/2, 11","BE 6/2, 11; Poebel 1909",D,differentiated family-linked resource claims,DG-DIFFERENTIATED-RIGHTS,Old Babylonian / Samsu-iluna examples,Nippur publication provenance; precise house unverified,HIGH,Used as part of bounded cross-case rights synthesis.
HEC-0024,"BE 6/2, 12","BE 6/2, 12; Poebel 1909",D,differentiated family-linked resource claims,DG-DIFFERENTIATED-RIGHTS,Old Babylonian / Samsu-iluna examples,Nippur publication provenance; precise house unverified,HIGH,Used as part of bounded cross-case rights synthesis.
HEC-0024,"BE 6/2, 43","BE 6/2, 43; Poebel 1909",D,differentiated family-linked resource claims,DG-DIFFERENTIATED-RIGHTS,Old Babylonian / Samsu-iluna examples,Nippur publication provenance; precise house unverified,HIGH,Used as part of bounded cross-case rights synthesis.
HEC-0024,"BE 6/2, 23","P453321; BE 6/2, 23",D,differentiated family-linked resource claims,DG-DIFFERENTIATED-RIGHTS,Samsu-iluna 4/X/21,Nippur,HIGH,Same underlying document as HEC-0023 but serving a distinct rights-synthesis role.
HEC-0025,"BE 6/2, 32","CBS 9182; BE 6/2, 32",D,partition/share-consolidation sequence,DG-BE32-35,Si 11/07/17,Nippur attribution; no secure house/locus,HIGH,One linked sequence; tablet/case not counted as separate transactions.
